year,region,population_estimate_15_over,population_standard_error,population_cov,labor_force_estimate,labor_force_standard_error,labor_force_cov,labor_force_participation_rate_estimate,labor_force_participation_rate_standard_error,labor_force_participation_rate_standard_error_cov,employment_rate,unemployment_rate,poverty_urban,poverty_urban_cov,poverty_urban_standard_error,poverty_rural,poverty_rural_cov,poverty_rural_standard_error,index_crime,index_crime_clear,nonindex_crime,nonindex_crime_clear,crime_sovled_total
2025,ncr,,,,,,,,,,,,,,,,,,3274,3256,20755,20726,21329
2025,car,,,,,,,,,,,,,,,,,,384,373,791,774,832
2025,1,,,,,,,,,,,,,,,,,,568,549,2082,2047,1913
2025,2,,,,,,,,,,,,,,,,,,442,437,1944,1932,1782
2025,3,,,,,,,,,,,,,,,,,,1837,1822,7478,7435,7841
2025,4a,,,,,,,,,,,,,,,,,,3420,3356,13381,13264,13883
2025,4b,,,,,,,,,,,,,,,,,,554,547,1458,1450,1232
2025,5,,,,,,,,,,,,,,,,,,1299,1262,3429,3253,3187
2025,6,,,,,,,,,,,,,,,,,,950,922,3375,3340,3527
2025,7,,,,,,,,,,,,,,,,,,1450,1441,11141,11114,11371
2025,8,,,,,,,,,,,,,,,,,,815,808,2730,2719,2699
2025,9,,,,,,,,,,,,,,,,,,751,741,2491,2478,2329
2025,10,,,,,,,,,,,,,,,,,,1022,999,4006,3921,3959
2025,11,,,,,,,,,,,,,,,,,,899,889,11462,11435,11711
2025,12,,,,,,,,,,,,,,,,,,672,669,1949,1938,2045
2025,13,,,,,,,,,,,,,,,,,,674,664,2497,2485,2287
2025,barmm,,,,,,,,,,,,,,,,,,494,442,1334,1277,1459
